PartNumber,IsActive,Description,Price,PartLoc,AvailQty,PkgQty,PkgPrice,DSort,CategoryCD,ProdCode
CB6014CR5-1P,1,3/16-24 nutplate,10.65,Bin:,0,1,0,0.3125CR5-1P,nutplates,CB6014
CB6011CR6-1,1,Nutplate,19.9,Bin:,0,1,0,0.3750CR6-1,nutplates,CB6011
CB3000CRA3-32,1,Stud,13.84,Bin:,0,25,0,0.1900CRA3-32,studsandstands,CB3000
CB5006CR3-150,1,"Sleeve, Insert",6,Bin:,0,1,0,CB506CR3-150CB506CR3-150,bushings,CB5006
CB3005CR4-10,1,"Bushing, Threaded",8.76,Bin:,0,1,0,0.2500CR4-10,bushings,CB3005
CS125-1032-20GCR,1,Stud,9.12,Bin:,0,1,0,0.1900-1032-20GCR,studsandstands,CS125
CB6007CR3-1,1,Nutplate,7.5,Bin:,0,1,0,0.1900CR3-1,nutplates,CB6007
CB3019A3N,1,Cable tie mount,3.05,Bin:,0,25,0,0.1900A3N,mounts,CB3019
CB6011CR5M-1P,1,Nutplate/Metric,4.5,Bin:,0,1,0,0.3125CR5M-1P,nutplates,CB6011
CP125-625-005-A2A1,1,Aluminum/anodized large hat patch,12.17,Bin:,0,25,0,CP125-625-005-A2A1-005-A2,clickpatch,CP125-625
CP62-000-005-A1A1,1,Very small flat patch ,9.66,Bin:,0,1,0,CP62-000-005-A1A1CP62-000,clickpatch,CP62
CB4064V3-24P,1,cable tie standoff,5.67,Bin:,0,1,0,0.1900V3-24P,mounts,CB4064
CS125-1032-14GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1900-1032-14GCR,studsandstands,CS125
CB4022V3CR8,1,"10/32-1/2"" length",9.56,Bin:,0,1,0,0.1900V3CR8,mounts,CB4022
CB8009CR3-1R,1,High-reuse nutplate,6.5,Bin:,0,1,0,0.1900CR3-1R,nutplates,CB8009
CB2031CR3CRP,1,"10/32"" stainless steel/primed",8.75,Bin:,0,1,0,0.1900CR3CRP,nutplates,CB2031
CB8009CR3-1PR,1,Nutplate,6.65,Bin:,0,1,0,0.1900CR3-1PR,nutplates,CB8009
CB602-8-500,1,Tester,350,Bin:,0,1,0,0.5000-8-500,tools,CB602
CN614CR06P,1,6/32 Thread Nutplate,4.85,Bin:,0,100,0,0.1380CR06P,nutplates,CN614
CN62-440-5CR,1,Standoff,3.56,Bin:,0,1,0,0.1120-440-5CR,studsandstands,CN62
CB8010CR08-2P,1,"Sealed nutplate, high reuse",10,Bin:,0,1,0,0.1640CR08-2P,nutplates,CB8010
CB5000CR3-12P,1,Small Base Stud,6.7,Bin:,0,1,0,0.1900CR3-12P,studsandstands,CB5000
CB4062V3-16,1,Cable tie mount,5.45,Bin:,0,1,0,0.1900V3-16,mounts,CB4062
CB3009CR4CRAP,1,Two lug nutplate,9.56,Bin:,0,100,0,0.2500CR4CRAP,nutplates,CB3009
CB200-40,1,Acrylic adhesive 40ml. dual *cartridge ,16.2,Bin:,0,100,0,CB200-40,adhesives,CB200-40
CB609,1,Stud adapter,1255.29,Bin:,0,1,0,CB609,tools,CB609
CB3005CR4-9,1,"Bushing, Threaded",9.5,Bin:,0,1,0,,bushings,CB3005
CN614CR420P,1,1/4-20 Thread Nutplate,3.75,Bin:,0,1,0,0.2500CR420P,nutplates,CN614
CB4002V3CR12,1,Standoff,8.13,Bin:,0,1,0,0.1900V3CR12,studsandstands,CB4002
CB9121CR08CRPNL,1,Nutplate/Non locking,17.91,Bin:,0,1,0,0.1640CR08CRPNL,nutplates,CB9121
CB6009CR3-1P,1,Nutplate,5.31,Bin:,0,25,0,0.1900CR3-1P,nutplates,CB6009
CB4561V5,1,"Cable tie mount, internal fixture",3.3,Bin:,0,1,0,0.3125V5,mounts,CB4561
CB11,1,"Slide (CB250-50, CB309-50)",13.35,Bin:,0,1,0,CB11CB11,adhesives,CB100
CB5001CR3-6,1,Standoff,8.45,Bin:,0,1,0,0.1900CR3-6,studsandstands,CB5001
CS125-632-16CR,1,"6/32-1"" long stud",3.19,Bin:,0,1,0,0.1380-632-16CR,studsandstands,CS125
CB4064V3-8,1,cable tie standoff,7.96,Bin:,0,1,0,0.1900V3-8,mounts,CB4064
CN609CR5P,1,5/16-24 Thread Nutplate,10.03,Bin:,0,15,0,0.3125CR5P,nutplates,CN609
CB9060CR518-12-750,1,"Insert, blind thread",11.76,Bin:,0,1,0,0.3120CR518-12-750,bushings,CB9060
CB5007CR3-600,1,Bushing,5.52,Bin:,0,1,0,0.1900CR3-600,bushings,CB5007
CB9121CR06CRP,1,Nutplate,11,Bin:,0,1,0,0.1380CR06CRP,nutplates,CB9121
CB4019G3N,1,"Cable tie, composite base",16.2,Bin:,0,25,0,0.1900G3N,mounts,CB4019
CB4022G3CR16,1,"Nutplate, right angle",12,Bin:,0,1,0,0.1900G3CR16,mounts,CB4022
CB6014CR04-1P,1,4/40 nutplate,4.62,Bin:,0,1,0,0.1120CR04-1P,nutplates,CB6014
CB3001CR3-12P,1,Standoff,9.6,Bin:,0,25,0,0.1900CR3-12P,studsandstands,CB3001
CB6009CR4-1,1,Nutplate,5.5,Bin:,0,20,0,0.2500CR4-1,nutplates,CB6009
CS125-51618-10GCR,1,Stud,9.12,Bin:,0,1,0,0.3120-51618-10GCR,studsandstands,CS125
CB3001AA3-8P,1,Standoff ,9.26,Bin:,0,25,0,0.1900AA3-8P,studsandstands,CB3001
CB5000CRA4-12P,1,Stud,8.66,Bin:,0,1,0,0.2500CRA4-12P,studsandstands,CB5000
CN614CR08NL,1,"8/32 Thread Nutplate, Non-Locking",3.71,Bin:,0,1,0,0.1640CR08NL,nutplates,CN614
CB7009CR4-1P,1,Nutplate,6.25,Bin:,0,1,0,0.2500CR4-1P,nutplates,CB7009
CS62-440-8CR,1,Small base stud,4.21,Bin:,0,1,0,0.1120-440-8CR,studsandstands,CS62
CB6009CR08-1P,1,Nutplate,6.68,Bin:,0,25,0,0.1640CR08-1P,nutplates,CB6009
CB4002V08CR24,1,Standoff,8.1,Bin:,0,1,0,0.1640V08CR24,studsandstands,CB4002
CS125-632-16GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1380-632-16GCR,studsandstands,CS125
CB602-5,1,Tester,345,Bin:,0,1,0,0.3125-5,tools,CB602
CN62-632-10CR,1,Standoff,3.56,Bin:,0,1,0,0.1380-632-10CR,studsandstands,CN62
CB4022G3CR6,1,"Nutplate, right angle",12.5,Bin:,0,1,0,0.1900G3CR6,mounts,CB4022
CB3019AA3N750P,1,"Cable mount, swivel, trimmed base, primed",3.51,Bin:,0,25,0,0.1900AA3N750P,mounts,CB3019
CB9188V3-3,1,"Support, Line Clamp",1.25,Bin:,0,1,0,0.1900V3-3,studsandstands,CB9188
CB3000CRA3-10,1,Stud,10.5,Bin:,0,25,0,0.1900CRA3-10,studsandstands,CB3000
CB5001CRA08-16,1,Standoff,10.75,Bin:,0,1,0,0.1640CRA08-16,studsandstands,CB5001
CS125-1032-24CR,1,"10/32-1 1/2"" long stud",4.08,Bin:,0,1,0,0.1900-1032-24CR,studsandstands,CS125
CB2009AA3CRA,1,Two-lug nutplate,7.83,Bin:,0,100,0,0.1900AA3CRA,nutplates,CB2009
CS62-440-6CR,1,Small base stud,4.21,Bin:,0,1,0,0.1120-440-6CR,studsandstands,CS62
CN614CR08PNL,1,"8/32 Thread Nutplate, Non-Locking",5,Bin:,0,1,0,0.1640CR08PNL,nutplates,CN614
CS125-1032-8GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1900-1032-8GCR,studsandstands,CS125
CN125-1420-8CR,1,Standoff,4.63,Bin:,0,1,0,0.2500-1420-8CR,studsandstands,CN125
CB4000C3CR10,1,"Stud, composite base",16.54,Bin:,0,1,0,0.1900C3CR10,studsandstands,CB4000
CB6009CR3-3P,1,Nutplate,5.5,Bin:,0,1,0,0.1900CR3-3P,nutplates,CB6009
CB9566CR04-1,1,Nutplate-Call for price,0,Bin:,0,1,0,0.1120CR04-1,nutplates,CB9566
CB4001G06CRA8,1,"Standoff, Composite Base",11.63,Bin:,0,1,0,0.1380G06CRA8,studsandstands,CB4001
CN62-632-16CR,1,Standoff,3.56,Bin:,0,1,0,0.1380-632-16CR,studsandstands,CN62
CB3005CR6-6,1,"Bushing, Threaded",8.5,Bin:,0,1,0,0.3750CR6-6,bushings,CB3005
CN609CR420P,1,1/4-20 Nutplate,7.91,Bin:,0,1,0,0.2500CR420P,nutplates,CN609
CB4064V3-16,1,cable tie standoff,7.44,Bin:,0,1,0,0.1900V3-16,mounts,CB4064
CB602-5-325,1,Tester,350,Bin:,0,1,0,0.3125-5-325,tools,CB602
CB4023V3CR24,1,"10/32-1 1/2"" tall",14.4,Bin:,0,1,0,0.1900V3CR24,nutplates,CB4023
CB6010CR6M4P,1,Sealed nutplate,16.46,Bin:,0,1,0,0.3750CR6M4P,nutplates,CB6010
CS120-105-24CR,1,"1 1/2"" long, stainless steel",1.5,Bin:,0,1,0,CS120-105-24CR-105-24CR,mounts,CS120
CB4000G3CR12,1,"Stud, composite base",16.64,Bin:,0,1,0,0.1900G3CR12,studsandstands,CB4000
CP200AA032,1,Aluminum/anodized flat patch,12.25,Bin:,0,1,0,CP200AA032AA032,clickpatch,CP200
CS62-1032-8CR,1,Small base stud,4.53,Bin:,0,1,0,0.1900-1032-8CR,studsandstands,CS62
CB4064V3-20P,1,cable tie standoff,5.46,Bin:,0,1,0,0.1900V3-20P,mounts,CB4064
CB4564V3-12,1,2-way standoff cable-tie mount,11.25,Bin:,0,25,0,0.1900V3-12,mounts,CB4564
CB9257V,1,Cable tie tree,9.8,Bin:,0,30,0,CB9257,mounts,CB9257
CB3000T3-24,1,"Stud, Titanium",11.55,Bin:,0,25,0,,studsandstands,CB3000
CN125-1032-8CR,1,Standoff,4.43,Bin:,0,1,0,0.1900-1032-8CR,studsandstands,CN125
CB9566CR3-1,1,Nutplate-Call for price,0,Bin:,0,1,0,0.1900CR3-1,nutplates,CB9566
CB9029AA3-813,1,"10/32"" Anodized-Aluminum .813 long",6.75,Bin:,0,1,0,0.1900AA3-813,bushings,CB9029
CB9173V3-24S,1,"Receptacle, Internal fixture, w/spear",2.94,Bin:,0,1,0,0.1900V3-24S,mounts,CB9173
CB3001CRA3-11,1,Standoff,8.77,Bin:,0,25,0,,studsandstands,CB3001
CN62-440-6CR,1,Standoff,3.56,Bin:,0,1,0,0.1120-440-6CR,studsandstands,CN62
CB3019AA5N750P,1,"Cable tie mount, trimmed base, primmed",4.93,Bin:,0,25,0,0.3125AA5N750P,mounts,CB3019
CB4201E3CR8,1,"Standoff, Locking Thread",22.79,Bin:,0,1,0,0.1900E3CR8,studsandstands,CB4201
CB6014CR4-1PNL,1,"Nutplate, non-locking",6.77,Bin:,0,1,0,0.2500CR4-1PNL,nutplates,CB6014
CB4021V3N32,1,"2"" tall - Glass/PEI",16.89,Bin:,0,25,0,0.1900V3N32,mounts,CB4021
CN62-632-12CR,1,Standoff,3.56,Bin:,0,1,0,0.1380-632-12CR,studsandstands,CN62
CB21,1,"Slide (CB359-50, CB301-50)",13.35,Bin:,0,1,0,CB21CB21,adhesives,CB100
CN125-1032-8GCR,1,"Standoff, Composite Base",4.68,Bin:,0,1,0,0.1900-1032-8GCR,studsandstands,CN125
CB4021G3N16,1,"1"" tall - Glass/Epoxy",21.48,Bin:,0,25,0,0.1900G3N16,mounts,CB4021
CB4000C3CR14,1,"Stud, carbon base",16.84,Bin:,0,1,0,0.1900C3CR14,studsandstands,CB4000
CB4020G3NB24,1,"Cable tie mount, right angle",6.5,Bin:,0,10,0,0.1900G3NB24,mounts,CB4020
CB6012CR3-1-6,1,Nutplate,10,Bin:,0,1,0,0.1900CR3-1-6,nutplates,CB6012
CB4021V3N8,1,"1/2"" tall - Glass/PEI",13.25,Bin:,0,25,0,0.1900V3N8,mounts,CB4021
CB9121CR08CRP,1,Nutplate,11,Bin:,0,1,0,0.1640CR08CRP,nutplates,CB9121
CB7009CR3-1,1,Nutplate,5.33,Bin:,0,1,0,0.1900CR3-1,nutplates,CB7009
CB3000CRA06-10,1,Stud,9.5,Bin:,0,25,0,,studsandstands,CB3000
CB9170V3-5,1,"Mount, Receptacle",2.94,Bin:,0,1,0,0.1900V3-5,mounts,CB9170
CB5001CRA3-11,1,Standoff,10.35,Bin:,0,1,0,0.1900CRA3-11,studsandstands,CB5001
CN62-832-12CR,1,Standoff,3.56,Bin:,0,1,0,0.1640-832-12CR,studsandstands,CN62
CB5005A3-275,1,"Bushing, Locking thread",5.32,Bin:,0,1,0,0.1900A3-275,bushings,CB5005
CB6011CR3-2,1,Nutplate,4.5,Bin:,0,1,0,0.1900CR3-2,nutplates,CB6011
CB5000CRA04-12,1,Small Base Stud,6.16,Bin:,0,1,0,0.1120CRA04-12,studsandstands,CB5000
CB9032S3,1,Plug,1.5,Bin:,0,500,0,0.1900S3,tools,CB9032
CB4064V3-16P,1,cable tie standoff,4.75,Bin:,0,1,0,0.1900V3-16P,mounts,CB4064
CB9302V3,1,"Cable tie, size 3",3.16,Bin:,0,50,0,0.1900V3,mounts,CB9302
CB9032S5,1,Plug,1.45,Bin:,0,500,0,0.3125S5,tools,CB9032
CB9060CR3-10-750,1,"Insert, blind thread",17.27,Bin:,0,1,0,0.1900CR3-10-750,bushings,CB9060
CB609A06,1,Stud adapter,204.75,Bin:,0,1,0,0.1380A06,tools,CB609
CB9393V7,1,Quarter Receptacle 4002,6.44,Bin:,0,1,0,0.4375V7,mounts,CB9393
CB6014CR5M-1P,1,Nutplate,6.15,Bin:,0,1,0,0.3125CR5M-1P,nutplates,CB6014
CB5000CR3-8P,1,Small Base Stud,5.89,Bin:,0,1,0,0.1900CR3-8P,studsandstands,CB5000
CB5005CRA3-280,1,"Bushing, Locking thread",6.32,Bin:,0,1,0,0.1900CRA3-280,bushings,CB5005
CB200,1,3.5 gram Adhesive packet ,5.25,Bin:,0,100,0,CB200,adhesives,CB200
CB9029A3-375,1,"10/32"" Aluminum .375 long",6.75,Bin:,0,1,0,0.1900A3-375,bushings,CB9029
CB6010CR6-2P,1,Sealed nutplate,32.18,Bin:,0,1,0,0.3750CR6-2P,nutplates,CB6010
CB6009CR4-2P,1,Nutplate,5.93,Bin:,0,1,0,0.2500CR4-2P,nutplates,CB6009
CB3001CR3-8P,1,Standoff,12.35,Bin:,0,25,0,,studsandstands,CB3001
CS200-1420-14CR,1,Stud,7.63,Bin:,0,10,0,0.2500-1420-14CR,studsandstands,CS200
CB4009G3CR,1,"Nutplate, composite base",7.01,Bin:,0,1,0,0.1900G3CR,nutplates,CB4009
CB300,1,4-gram Adhesive,5.25,Bin:,0,1,0,CB300,adhesives,CB300
CB4022G3CR6-750,1,"Nutplate, right angle, trimmed base",13,Bin:,0,1,0,0.1900G3CR6-750,mounts,CB4022
CB6009CR4-1P,1,Nutplate,6.5,Bin:,0,20,0,0.2500CR4-1P,nutplates,CB6009
CS62-832-12CR,1,Small base stud,4.21,Bin:,0,1,0,0.1640-832-12CR,studsandstands,CS62
CB6014CR08-1P,1,8/32 nutplate,4.32,Bin:,0,1,0,0.1640CR08-1P,nutplates,CB6014
CN610CR3P,1," 10/32"" stainless steel w/primer ",8,Bin:,0,1,0,0.1900CR3P,nutplates,CN610
CB4022V08CR8-750,1,"Nutplate, right angle, trimmed base",13.58,Bin:,0,1,0,0.1640V08CR8-750,mounts,CB4022
CS125-832-16GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1640-832-16GCR,studsandstands,CS125
CB602-4-325,1,Tester,350,Bin:,0,1,0,0.2500-4-325,tools,CB602
CB4023V08CR8,1,"8/32-1/2"" tall",13.75,Bin:,0,1,0,0.1640V08CR8,nutplates,CB4023
CS62-832-4CR,1,Small base stud,4.21,Bin:,0,1,0,0.1640-832-4CR,studsandstands,CS62
CB4000G3CR4,1,"Stud, composite base",11.6,Bin:,0,1,0,0.1900G3CR4,studsandstands,CB4000
CB4000G3CR10,1,Stud,12.64,Bin:,0,1,0,0.1900G3CR10,studsandstands,CB4000
CB4023V3CR16,1,"10/32-1"" tall",14.4,Bin:,0,1,0,0.1900V3CR16,nutplates,CB4023
CN614CR04PNL,1,"4/40 Thread Nutplate, Non-Locking",5.5,Bin:,0,1,0,0.1120CR04PNL,nutplates,CN614
CB8009CR08-1PR,1,Nutplate,10.43,Bin:,0,1,0,0.1640CR08-1PR,nutplates,CB8009
CS62-832-14CR,1,Small base stud,4.21,Bin:,0,1,0,0.1640-832-14CR,studsandstands,CS62
CB5001CRA08-8,1,Standoff,10.06,Bin:,0,1,0,0.1640CRA08-8,studsandstands,CB5001
CN125-832-16CR,1,Standoff,4.98,Bin:,0,1,0,0.1640-832-16CR,studsandstands,CN125
CB6007CR3-1P,1,Nutplate,8.29,Bin:,0,1,0,0.1900CR3-1P,nutplates,CB6007
CB9032S6,1,Plug,1.45,Bin:,0,250,0,0.3750S6,tools,CB9032
CB2009A3CR,1,Two-lug nutplate,5.25,Bin:,0,100,0,,nutplates,CB2009
CB9205V,1,"Loop, strap fastener",23.48,Bin:,0,1,0,CB9205VV,mounts,CB9205
CB3000CRA08-14P,1,Stud-Primmed base,14.4,Bin:,0,25,0,,studsandstands,CB3000
CB609A3,1,Stud adapter,204.75,Bin:,0,1,0,0.1900A3,tools,CB609
CB9077AA3-1430,1,Bushing,6.75,Bin:,0,1,0,0.1900AA3-1430,bushings,CB9077
CB5007CR4-130,1,Bushing,5.52,Bin:,0,1,0,0.2500CR4-130,bushings,CB5007
CB9077CR4-1000,1,"Bushing, spacer insert, plain counterset",9,Bin:,0,1,0,0.2500CR4-1000,bushings,CB9077
CB3000CRA3-16,1,Stud,11.47,Bin:,0,25,0,0.1900CRA3-16,studsandstands,CB3000
CB4020V3N8,1,"Cable tie mount, right angle",15.04,Bin:,0,1,0,0.1900V3N8,mounts,CB4020
CB4002V3CR16,1,Standoff,8.16,Bin:,0,1,0,0.1900V3CR16,studsandstands,CB4002
CB602-04,1,Tester,345,Bin:,0,1,0,0.1120-04,tools,CB602
CB9393V5C,1,Quarter Receptacle w/cap 2600/2700,7.3,Bin:,0,1,0,0.3125V5C,mounts,CB9393
CS125-1032-10CR,1,"10/32-5/8"" long stud",5.68,Bin:,0,1,0,0.1900-1032-10CR,studsandstands,CS125
CB4201E3AA32,1,"Standoff, Locking Thread",22.31,Bin:,0,1,0,0.1900E3AA32,studsandstands,CB4201
CB8009CR3-2PR,1,High-reuse nutplate,6.65,Bin:,0,1,0,0.1900CR3-2PR,nutplates,CB8009
CS125-632-12GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1380-632-12GCR,studsandstands,CS125
CS62-1032-12CR,1,Small base stud,4.21,Bin:,0,1,0,0.1900-1032-12CR,studsandstands,CS62
CS200-1420-32CR,1,Stud,8.29,Bin:,0,10,0,0.2500-1420-32CR,studsandstands,CS200
CB3000CRA06-6,1,Stud,29.19,Bin:,0,25,0,,studsandstands,CB3000
CB9393V5,1,Quarter Receptacle 2600/2700,5.44,Bin:,0,1,0,0.3125V5,mounts,CB9393
CS125-832-8CR,1,"8/32-1/2"" long stud",4.06,Bin:,0,1,0,0.1640-832-8CR,studsandstands,CS125
CB4022V3CR12,1,"10/32-3/4"" length",8.5,Bin:,0,1,0,0.1900V3CR12,mounts,CB4022
CB609B08,1,Stud adapter,204.75,Bin:,0,1,0,0.1640B08,tools,CB609
CB81,1,"Slide (CB200-40, CB420-50E)",13.35,Bin:,0,1,0,CB81CB81,adhesives,CB100
CB603-1,1,Tester,260,Bin:,0,1,0,CB603-1-1,tools,CB603
CS62-1032-24CR,1,Small base stud,4.21,Bin:,0,1,0,0.1900-1032-24CR,studsandstands,CS62
CS125-1428-12GCR,1,1/4-28 composite base stud,9.12,Bin:,0,1,0,0.2500-1428-12GCR,studsandstands,CS125
CN611CR5P,1,"Nutplate, One Lug",10.03,Bin:,0,1,0,,nutplates,CN611
CB4021V3N12,1,"3/4"" tall - Glass/PEI",14.23,Bin:,0,25,0,0.1900V3N12,mounts,CB4021
CB3000CRA3-14,1,Stud,9.35,Bin:,0,1,0,0.1900CRA3-14,studsandstands,CB3000
CS62-440-16CR,1,Small base stud,9.05,Bin:,0,1,0,0.1120-440-16CR,studsandstands,CS62
CN614CR420PNL,1,"1/4-20 Thread Nutplate, Non-Locking",8.07,Bin:,0,1,0,0.2500CR420PNL,nutplates,CN614
CB602-6-325,1,Tester,350,Bin:,0,1,0,0.3750-6-325,tools,CB602
CB4000G3CR32,1,"Stud, composite base",14.64,Bin:,0,1,0,0.1900G3CR32,studsandstands,CB4000
CB602-4M-3.25,1,Tester,350,Bin:,0,1,0,0.2500-4M-3.25,tools,CB602
CB9120V5,1,Glass/Thermoplastic,3.05,Bin:,0,25,0,0.3125V5,mounts,CB9120
CB4019G3N750,1,"Cable tie, composite/trimmed base",17.12,Bin:,0,25,0,,mounts,CB4019
CS125-832-16GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1640-832-16GCR,studsandstands,CS125
CN609CR3PNL,1,"10/32 Thread Nutplate, Non-Locking",5,Bin:,0,1,0,0.1900CR3PNL,nutplates,CN609
CB9060CR4-8-750,1,"Insert, blind thread",17.27,Bin:,0,1,0,0.2500CR4-8-750,bushings,CB9060
CB4002V08CR12,1,Standoff,8.05,Bin:,0,1,0,0.1640V08CR12,studsandstands,CB4002
CB9566CR3-1P,1,Nutplate-Call for price,0,Bin:,0,1,0,0.1900CR3-1P,nutplates,CB9566
CS62-632-8CR,1,Small base stud,4.21,Bin:,0,1,0,0.1380-632-8CR,studsandstands,CS62
CB8008ACR08-2R,1,"Nutplate, One lug, sealed",10,Bin:,0,1,0,0.1640ACR08-2R,nutplates,CB8008
CB3001CR08-9,1,Standoff,9.53,Bin:,0,25,0,,studsandstands,CB3001
CB6011CR4-1,1,Nutplate,4.43,Bin:,0,1,0,0.2500CR4-1,nutplates,CB6011
CB5001CR3-12,1,Standoff,8.5,Bin:,0,1,0,0.1900CR3-12,studsandstands,CB5001
CB7009CR4-6,1,Nutplate,6,Bin:,0,1,0,0.2500CR4-6,nutplates,CB7009
CN125-440-8GCR,1,"Standoff, composite base",5.5,Bin:,0,1,0,0.1120-440-8GCR,studsandstands,CN125
CB602-7-325,1,Tester,350,Bin:,0,1,0,0.4375-7-325,tools,CB602
CB4022V3CR6P,1,"Nutplate, right angle",10.51,Bin:,0,1,0,0.1900V3CR6P,mounts,CB4022
CN62-832-10CR,1,Standoff,3.56,Bin:,0,1,0,0.1640-832-10CR,studsandstands,CN62
CS62-1032-16CR,1,Small base stud,6.05,Bin:,0,1,0,0.1900-1032-16CR,studsandstands,CS62
CB9085A3-155,1,Threaded Insert,15.5,Bin:,0,1,0,0.1900A3-155,bushings,CB9085
CB4021V3N16,1,"1"" tall - Glass/PEI",15.67,Bin:,0,25,0,0.1900V3N16,mounts,CB4021
CB9029AA3-500,1,"10/32"" Anodized-Aluminum .500 long",6.75,Bin:,0,1,0,0.1900AA3-500,bushings,CB9029
CB9317AA6P,1,"Washer, Countersunk",4.02,Bin:,0,1,0,0.3750AA6P,bushings,CB9317
CB3000CRA3-8,1,Stud,11.88,Bin:,0,25,0,0.1900CRA3-8,studsandstands,CB3000
CB6009CR3-2,1,Nutplate,5.29,Bin:,0,1,0,0.1900CR3-2,nutplates,CB6009
CB6010ACR3-2P,1,Sealed nutplate,12,Bin:,0,1,0,0.1900ACR3-2P,nutplates,CB6010
CS200-3816-16CR,1,Stud,8.57,Bin:,0,10,0,0.3750-3816-16CR,studsandstands,CS200
CS200-1420-10CR,1,Stud,7.63,Bin:,0,10,0,0.2500-1420-10CR,studsandstands,CS200
CB3001CR3-24P,1,Standoff,12.49,Bin:,0,25,0,0.1900CRA3-24,studsandstands,CB3001
CB4064V3-12P,1,cable tie standoff,4.43,Bin:,0,1,0,0.1900V3-12P,mounts,CB4064
CN614CR08P,1,8/32 Thread Nutplate,4.95,Bin:,0,25,0,0.1640CR08P,nutplates,CN614
CB4023V3CR8,1,"10/32-1/2"" tall",14,Bin:,0,1,0,0.1900V3CR8,nutplates,CB4023
CB3019A5N,1,Cable tie mount,2.12,Bin:,0,25,0,0.3125A5N,mounts,CB3019
CN614CR324P,1,10/24 Thread Nutplate,4.75,Bin:,0,1,0,0.1900CR324P,nutplates,CN614
CB3000CRA3-24,1,Stud,12.6,Bin:,0,25,0,0.1900CRA3-24,studsandstands,CB3000
CN125-832-8CR,1,Standoff,3.75,Bin:,0,1,0,0.1640-832-8CR,studsandstands,CN125
CB603-2,1,Tester,975,Bin:,0,1,0,CB603-2-2,tools,CB603
CB9173V3-7,1,"Receptacle, Internal fixture",2.34,Bin:,0,1,0,0.1900V3-7,mounts,CB9173
CB3000CRA3-26,1,Stud,10.02,Bin:,0,1,0,0.1900CRA3-26,studsandstands,CB3000
CN125-832-12GCR,1,"Standoff, composite base",5.9,Bin:,0,1,0,0.1640-832-12GCR,studsandstands,CN125
CB4001G06CRA6,1,"Standoff, Composite Base",11.63,Bin:,0,1,0,0.1380G06CRA6,studsandstands,CB4001
CB6014CR3-1P,1,10/32 nutplate,4.25,Bin:,0,1,0,0.1900CR3-1P,nutplates,CB6014
CB3019AA3NB750P,1,"Cable tie mount, trimmed base",6.27,Bin:,0,25,0,,mounts,CB3019
CB4023G3CR16,1,"Nutplate, Standoff",15,Bin:,0,1,0,0.1900G3CR16,nutplates,CB4023
